Timestamp,Date,"Principal Buyer Full Name (First M.I., Family)",Age,Income of Principal Buyer,Marital Status,No. of Family Members,Preferred Location,SOURCE OF LEAD,Source of Income,Employer,Preferred Pay Term,"Spouse Full Name (First M.I., Family)",Age of Spouse,Income of Spouse
01/05/2024 19:22,01/05/2024,Client 1,29,"PHP 125,500",Married,7,BATULAO,Facebook Ads,Locally Employed,bdo unibank,20-80 Pagibig Financing,Spouse of Client 1,30,"PHP 83,000"
01/06/2024 11:56,01/06/2024,Client 2,27,"PHP 61,000",Married,2,MAGALANG EAST,Facebook Ads,Self Employed/ Business Owner,independent contractor,20-80 Pagibig Financing,Spouse of Client 2,25,"PHP 42,500"
01/11/2024 20:54,01/11/2024,Client 3,42,"PHP 247,000",Single,N/a,GAPAN,Broker/Agent,OFW Land base,Aramco,20-80 Pagibig Financing,N/a,N/a,N/a
01/15/2024 14:35:29,01/15/2024,Client 4,47,"PHP 32,500",Single,N/A,LIPA,Facebook Ads,OFW Land base,pricewaterhousecoopers uae,20-80 Pagibig Financing,N/A,N/A,N/A
01/17/2024 17:33:44,01/17/2024,Client 5,27,"PHP 243,000",Married,2,TAYABAS,Facebook Ads,OFW Land base,Hyundai engineering,20-80 Pagibig Financing,Spouse of Client 5,28,"PHP 224,500"
01/18/2024 10:28:55,01/18/2024,Client 6,42,"PHP 144,500",Widow,n/a,LIPA,Referral,OFW Land base,Consolidated contractors,20-80 Pagibig Financing,n/a,n/a,n/a
01/21/2024 09:51:11,01/21/2024,Client 7,53,"PHP 84,000",Single,N/A,BATULAO,Referral,OFW Land base,Walmart us,20-80 Pagibig Financing,N/A,N/A,N/A
01/29/2024 16:28:18,01/29/2024,Client 8,27,"PHP 32,500",Widow,n/a,BATULAO,Facebook Ads,OFW Land base,Emaar properties,20-80 Pagibig Financing,n/a,n/a,n/a
01/31/2024 09:38:03,01/31/2024,Client 9,36,"PHP 175,500",Married,7,NAIC,Facebook Ads,OFW Land base,samsung hq seoul,20-80 Pagibig Financing,Spouse of Client 9,37,"PHP 189,000"
01/31/2024 14:38:58,01/31/2024,Client 10,32,"PHP 48,500",Single,N/A,BATULAO,Broker/Agent,OFW Land base,Emaar properties,20-80 Pagibig Financing,N/A,N/A,N/A
02/02/2024 14:41,02/02/2024,Client 11,32,"PHP 177,500",Single,n/a,NAIC,Referral,OFW Land base,Emirates airlines,Deferred Cash,n/a,n/a,n/a
02/13/2024 19:35:45,02/13/2024,Client 12,51,"PHP 123,500",Married,4,SIGHTS CALAUAN,Facebook Ads,Self Employed/ Business Owner,family catering services,10-90 Bank Financing,Spouse of Client 12,52,"PHP 147,000"
02/15/2024 15:33:36,02/15/2024,Client 13,31,"PHP 113,500",Widow,n/a,GEN TRI,Facebook Ads,OFW Land base,emaar properties,20-80 Pagibig Financing,n/a,n/a,n/a
02/20/2024 18:31:07,02/20/2024,Client 14,33,"PHP 59,500",Single,n/a,NAIC,Facebook Ads,Locally Employed,san miguel corporation,20-80 Pagibig Financing,n/a,n/a,n/a
02/22/2024 17:11:17,02/22/2024,Client 15,53,"PHP 209,000",Single,n/a,IMPRESSIONS HERMOSA,Facebook Ads,OFW Land base,samsung c&t (saudi),20-80 Pagibig Financing,n/a,n/a,n/a
02/22/2024 09:37:35,02/22/2024,Client 16,27,"PHP 92,000",Single,N/a,LIPA,Referral,Locally Employed,Philippine general hospital,20-80 Pagibig Financing,N/a,N/a,N/a
02/23/2024 20:09:20,02/23/2024,Client 17,50,"PHP 195,500",Single,N/a,LIPA,Facebook Ads,Self Employed/ Business Owner,own business operations,Cash,N/a,N/a,N/a
02/26/2024 12:59:22,02/26/2024,Client 18,39,"PHP 86,000",Married,3,PANDI EXPANSION,Referral,Self Employed/ Business Owner,own accounting practice,20-80 Pagibig Financing,Spouse of Client 18,39,"PHP 48,500"
02/28/2024 11:01:41,02/28/2024,Client 19,49,"PHP 23,500",Single,n/a,LIPA,Referral,Locally Employed,philippine national police,10-90 Bank Financing,n/a,n/a,n/a
03/10/2024 11:45,03/10/2024,Client 20,25,"PHP 210,000",Married,3,MAGALANG EAST,Referral,OFW Land base,Al rajhi bank,20-80 Pagibig Financing,Spouse of Client 20,25,"PHP 172,500"
03/11/2024 14:15,03/11/2024,Client 21,51,"PHP 67,000",Single,N/A,LIPA,Facebook Ads,OFW Sea Base,philippine Airlines (int'l),20-80 Pagibig Financing,N/A,N/A,N/A
03/13/2024 13:20:28,03/13/2024,Client 22,30,"PHP 85,500",Married,3,LIPA,Other:,Locally Employed,globe telecom,10-90 Bank Financing,Spouse of Client 22,25,"PHP 72,000"
03/13/2024 17:56:33,03/13/2024,Client 23,32,"PHP 41,000",Married,7,LIPA,Facebook Ads,Locally Employed,Ayala Land Construction,20-80 Pagibig Financing,Spouse of Client 23,35,"PHP 23,000"
03/23/2024 10:39:07,03/23/2024,Client 24,42,"PHP 216,000",Married,2,BALIWAG,Other:,OFW Land base,Hyundai engineering korea,20-80 Pagibig Financing,Spouse of Client 24,40,"PHP 212,500"
03/24/2024 09:26:50,03/24/2024,Client 25,55,"PHP 156,500",Single,n/a,BALIWAG,Facebook Ads,OFW Land base,samsung c&t (saudi),20-80 Pagibig Financing,n/a,n/a,n/a
04/07/2024 20:55,04/07/2024,Client 26,46,"PHP 72,500",Married,7,GAPAN,Facebook Ads,OFW Land base,Japan tobacco int'l,10-90 Bank Financing,Spouse of Client 26,43,"PHP 49,000"
04/17/2024 13:18:08,04/17/2024,Client 27,35,"PHP 145,500",Married,7,BATULAO,Facebook Ads,OFW Sea Base,Maersk line,20-80 Pagibig Financing,Spouse of Client 27,32,"PHP 160,000"
04/18/2024 08:27:21,04/18/2024,Client 28,47,"PHP 46,000",Married,6,BATULAO,Facebook Ads,Locally Employed,universal robina corp,20-80 Pagibig Financing,Spouse of Client 28,51,"PHP 57,000"
04/20/2024 11:03:17,04/20/2024,Client 29,33,"PHP 111,000",Single,N/A,LIPA,Facebook Ads,OFW Land base,Adnoc,10-90 Bank Financing,N/A,N/A,N/A
04/23/2024 13:12:01,04/23/2024,Client 30,43,"PHP 47,000",Widow,n/a,LIPA,Referral,Self Employed/ Business Owner,Tricycle operator,20-80 Pagibig Financing,n/a,n/a,n/a
04/26/2024 12:11:33,04/26/2024,Client 31,28,"PHP 35,500",Married,2,MAGALANG EAST,Facebook Ads,OFW Sea Base,philippine airlines (int'l),10-90 Bank Financing,Spouse of Client 31,23,"PHP 21,000"
04/28/2024 15:37:23,04/28/2024,Client 32,45,"PHP 60,500",Single,N/A,LIPA,Broker/Agent,OFW Land base,Bechtel middle east,10-90 Bank Financing,N/A,N/A,N/A
05/08/2024 10:57,05/08/2024,Client 33,31,"PHP 130,000",Married,6,LIPA,Facebook Ads,OFW Land base,AL rajhi bank,10-90 Bank Financing,Spouse of Client 33,36,"PHP 150,000"
05/09/2024 15:51,05/09/2024,Client 34,28,"PHP 32,500",Married,5,LIPA,Referral,OFW Land base,emirates airlines,20-80 Pagibig Financing,Spouse of Client 34,29,"PHP 32,500"
05/10/2024 16:11,05/10/2024,Client 35,30,"PHP 27,000",Widow,n/a,LIPA,Facebook Ads,Locally Employed,Universal robina corp,10-90 Bank Financing,n/a,n/a,n/a
05/16/2024 14:25:52,05/16/2024,Client 36,25,"PHP 39,500",Married,2,LIPA,Facebook Ads,OFW Land base,petrofac,10-90 Bank Financing,Spouse of Client 36,29,"PHP 20,000"
05/21/2024 09:11:43,05/21/2024,Client 37,46,"PHP 192,000",Widow,4,CALAMBA,Referral,OFW Land base,Samsung hq seoul,20-80 Pagibig Financing,N/A,N/A,N/A
06/04/2024 9:31,06/04/2024,Client 38,43,"PHP 58,500",Married,2,BATULAO,Facebook Ads,Self Employed/ Business Owner,Tricycle operator,20-80 Pagibig Financing,Spouse of Client 38,46,"PHP 48,000"
06/14/2024 10:29:33,06/14/2024,Client 39,54,"PHP 18,500",Single,N/a,GEN TRI,Referral,Self Employed/ Business Owner,family catering services,20-80 Pagibig Financing,N/a,N/a,N/a
06/15/2024 20:16:33,06/15/2024,Client 40,27,"PHP 190,500",Married,2,BALIWAG,Facebook Ads,Locally Employed,Sm investments corp,20-80 Pagibig Financing,Spouse of Client 40,25,"PHP 163,000"
06/18/2024 12:45:55,06/18/2024,Client 41,44,"PHP 84,500",Married,3,GEN TRI,Referral,Self Employed/ Business Owner,freelance Services,20-80 Pagibig Financing,Spouse of Client 41,45,"PHP 98,000"
06/21/2024 16:34:50,06/21/2024,Client 42,35,"PHP 26,000",Single,N/A,GEN TRI,Referral,Locally Employed,Meralco,20-80 Pagibig Financing,N/A,N/A,N/A
06/25/2024 17:26:27,06/25/2024,Client 43,45,"PHP 122,500",Married,3,MAGALANG EAST,Broker/Agent,OFW Land base,Al rajhi Bank,20-80 Pagibig Financing,Spouse of Client 43,47,"PHP 151,500"
07/05/2024 13:27,07/05/2024,Client 44,44,"PHP 108,000",Married,6,LIPA,Referral,OFW Sea Base,msc cruises,Deferred Cash,Spouse of Client 44,48,"PHP 121,500"
07/08/2024 9:09,07/08/2024,Client 45,36,"PHP 169,000",Married,6,PANDI EXPANSION,Facebook Ads,OFW Land base,prosegur uae,20-80 Pagibig Financing,Spouse of Client 45,40,"PHP 212,000"
07/09/2024 20:33,07/09/2024,Client 46,25,"PHP 165,500",Single,N/A,NAIC,Referral,OFW Land base,Samsung c&t (saudi),10-90 Bank Financing,N/A,N/A,N/A
07/15/2024 20:07:14,07/15/2024,Client 47,33,"PHP 21,000",Married,2,STO. TOMAS,Facebook Ads,Self Employed/ Business Owner,Independent contractor,20-80 Pagibig Financing,Spouse of Client 47,29,"PHP 13,000"
07/16/2024 16:38:14,07/16/2024,Client 48,35,"PHP 172,000",Married,6,GEN TRI,Broker/Agent,OFW Land base,hyundai engineering,20-80 Pagibig Financing,Spouse of Client 48,32,"PHP 142,500"
07/16/2024 13:19:54,07/16/2024,Client 49,53,"PHP 63,000",Single,n/a,BALIWAG,Facebook Ads,Self Employed/ Business Owner,online seller,Cash,n/a,n/a,n/a
07/18/2024 15:41:46,07/18/2024,Client 50,49,"PHP 85,500",Married,3,LIPA,Facebook Ads,OFW Land base,four Seasons dubai,10-90 Bank Financing,Spouse of Client 50,49,"PHP 95,500"
07/20/2024 19:10:18,07/20/2024,Client 51,38,"PHP 64,500",Single,N/A,MAGALANG EAST,Broker/Agent,Locally Employed,Philippine airlines,20-80 Pagibig Financing,N/A,N/A,N/A
07/26/2024 11:56:48,07/26/2024,Client 52,26,"PHP 66,000",Married,7,CALAMBA,Referral,Locally Employed,philippine national police,20-80 Pagibig Financing,Spouse of Client 52,22,"PHP 78,500"
07/29/2024 20:33:30,07/29/2024,Client 53,36,"PHP 41,000",Married,7,LIPA,Facebook Ads,Locally Employed,universal robina Corp,20-80 Pagibig Financing,Spouse of Client 53,33,"PHP 42,500"
08/03/2024 15:58,08/03/2024,Client 54,53,"PHP 214,000",Single,N/a,PANDI EXPANSION,Referral,OFW Land base,Qatar petroleum,10-90 Bank Financing,N/a,N/a,N/a
08/06/2024 8:17,08/06/2024,Client 55,53,"PHP 151,000",Married,7,BATULAO,Facebook Ads,OFW Land base,northrop grumman,20-80 Pagibig Financing,Spouse of Client 55,57,"PHP 176,000"
08/21/2024 09:25:48,08/21/2024,Client 56,50,"PHP 193,000",Single,N/A,MAGALANG EAST,Broker/Agent,OFW Land base,Al rajhi bank,10-90 Bank Financing,N/A,N/A,N/A
08/26/2024 09:58:58,08/26/2024,Client 57,31,"PHP 113,500",Single,N/A,LIPA,Facebook Ads,OFW Land base,Al futtaim group,20-80 Pagibig Financing,N/A,N/A,N/A
08/27/2024 18:43:45,08/27/2024,Client 58,46,"PHP 198,000",Married,6,BATULAO,Facebook Ads,OFW Sea Base,Msc cruises,20-80 Pagibig Financing,Spouse of Client 58,47,"PHP 152,500"
09/06/2024 10:24,09/06/2024,Client 59,41,"PHP 201,000",Married,5,BATULAO,Broker/Agent,OFW Land base,Emaar properties,Deferred Cash,Spouse of Client 59,42,"PHP 167,000"
09/12/2024 9:13,09/12/2024,Client 60,30,"PHP 38,500",Married,3,LIPA,Facebook Ads,Self Employed/ Business Owner,Independent contractor,20-80 Pagibig Financing,Spouse of Client 60,33,"PHP 22,000"
