Unit Code,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ETD,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSECON REMARKS,
B022L001,SOMA1,GEN TRI,3,B,1,UNNA CORNER,137,54,"6,145,947.00","614,597.87","5,531,349.13",Oct-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B022L030,SOMA1,GEN TRI,3,B,1,UNNA CORNER,139,54,"6,031,025.00","603,109.87","5,427,915.13",Oct-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B022L034,SOMA1,GEN TRI,3,B,1,UNNA CORNER,153,54,"6,352,645.00","635,265.55","5,717,379.45",Nov-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B022L036,SOMA1,GEN TRI,3,B,1,UNNA CORNER,138,54,"6,008,088.00","600,813.03","5,407,274.97",Nov-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L001,SOMA1,GEN TRI,3,B,1,UNNA CORNER,133,54,"5,926,361.00","480,000.01","5,446,360.99",Nov-27,17%,17%,OPEN,MEMO TERM,YELLOW TAG
B011L022,SOMA1,GEN TRI,3,B,2,UNNA CORNER,137,54,"5,985,151.00","598,516.20","5,386,634.80",Nov-27,1%,1%,OPEN,MEMO TERM,YELLOW TAG
B012L015,SOMA1,GEN TRI,3,B,2,UNNA REGULAR,155,54,"5,800,778.00","580,079.82","5,220,698.18",Nov-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B014L006,SOMA1,GEN TRI,3,B,2,UNNA CORNER,148,54,"6,573,451.00","657,348.35","5,916,102.65",Oct-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B014L007,SOMA1,GEN TRI,3,B,2,UNNA CORNER,146,54,"6,191,785.00","619,187.71","5,572,597.29",Oct-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B011L023,SOMA1,GEN TRI,3,B,2,UNNA CORNER,137,54,"5,985,151.00","598,516.20","5,386,634.80",Nov-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B011L027,SOMA1,GEN TRI,3,B,2,UNNA CORNER,123,54,"5,663,531","566,360.51","5,097,170",Dec-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B022L039,SOMA1,GEN TRI,3,B,1,UNNA CORNER,129,54,"5,801,354","580,141.52","5,221,212",Nov-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B016L034,NOMA1,PANDI EXPANSION,4,A,1B,CALISTA MID,48,40,"2,742,911",-,"2,742,911",Jan-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B026L030,SOMA1,IMPRESSIONS GEN TRI,1,,1,CALISTA END,178,40,"6,908,707","690,879.28","6,217,827",Dec-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B027L001,SOMA1,IMPRESSIONS GEN TRI,1,,1,CALISTA END CORNER,172,40,"6,714,340.20","671,436.45","6,042,903.75",Dec-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B028L001,SOMA1,IMPRESSIONS GEN TRI,1,,1,CALISTA END CORNER,167,40,"6,634,168.86","663,425.24","5,970,743.63",Nov-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B028L028,SOMA1,IMPRESSIONS GEN TRI,1,,1,CALISTA END CORNER,145,40,"5,985,519.30","598,555.64","5,386,963.66",Oct-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B028L045,SOMA1,IMPRESSIONS GEN TRI,1,,1,CALISTA END CORNER,141,40,"6,042,136.07","604,214.58","5,437,921.49",Oct-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B028L058,SOMA1,IMPRESSIONS GEN TRI,1,,1,CALISTA END,148,40,"6,024,193.53","602,420.73","5,421,772.79",Oct-27,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B055L019,SOMA1,NAIC,2,A,1,CALISTA END,117,40,"3,807,394.00",-,"3,807,394.00",Apr-26,12%,12%,REOPEN,RSBS WITHIN THE MONTH,YELLOW TAG
B028L071,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END,138,40,"5,729,289.18","572,934.55","5,156,354.62",Jan-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B037L004,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END CORNER,141,40,"6,216,634.58","621,667.99","5,594,966.59",Jan-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B038L011,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END CORNER,174,40,"6,976,374.41","697,647.26","6,278,727.15",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B039L001,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END CORNER,149,40,"6,466,707.87","646,672.27","5,820,035.60",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B039L003,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END,133,40,"5,749,280.61","574,937.21","5,174,343.40",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B039L005,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END,136,40,"5,953,865.72","595,389.18","5,358,476.54",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B039L021,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END,128,40,"5,597,450.37","559,751.83","5,037,698.55",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B039L030,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END,138,40,"5,901,211","590,122.59","5,311,088",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B040L006,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END CORNER,126,40,"5,425,231","542,531.90","4,882,699",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B040L007,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END,153,40,"6,480,205","648,022.02","5,832,183",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B040L014,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END CORNER,133,40,"5,910,763","591,081.80","5,319,682",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B040L015,SOMA1,IMPRESSIONS GEN TRI,1,,2,CALISTA END CORNER,133,40,"5,631,674.08","563,172.22","5,068,501.85",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L011,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286.00",-,"2,597,286.00",Aug-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L012,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286.00",-,"2,597,286.00",Aug-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L013,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286.00",-,"2,597,286.00",Aug-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L014,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286.00",-,"2,597,286.00",Aug-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L019,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286.00",-,"2,597,286.00",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L022,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286.00",-,"2,597,286.00",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L031,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286.00",-,"2,597,286.00",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B010L032,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,597,286",-,"2,597,286",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B011L023,NOMA1,BALIWAG EXPANSION,5,,1,CALISTA MID,48,40,"2,623,579",-,"2,623,579",Jul-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
