UNIT CODE,COM,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,
B044L009,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,813,157.71",0.00,"1,813,157.71",Aug-2025,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B044L011,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,813,157.71",0.00,"1,813,157.71",Aug-2025,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B044L019,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,813,157.71",0.00,"1,813,157.71",Aug-2025,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B044L021,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,813,157.71",0.00,"1,813,157.71",Aug-2025,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B044L040,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,789,537.65",0.00,"1,789,537.65",Aug-2025,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B005L001,PPHI,SOMA2,CALAMBA,2,A,6,CALISTA END,130,40,"4,590,633.91",0.00,"4,590,633.91",Apr-2023,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B003L004,PPHI,SOMA2,CALAMBA,2,B,7,UNNA REGULAR,116,54,"5,664,746.45","566,479.98","5,098,266.47",Mar-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B009L010,PPHI,SOMA2,CALAMBA,2,B,7,UNNA CORNER,129,54,"6,041,139.42","604,118.51","5,437,020.91",Feb-2022,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B014L001,PPHI,SOMA2,CALAMBA,2,B,7,UNNA CORNER,126,54,"6,193,170.98","619,325.46","5,573,845.52",Feb-2023,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B014L002,PPHI,SOMA2,CALAMBA,2,B,7,UNNA CORNER,129,54,"6,279,305.55","627,932.74","5,651,372.81",Feb-2023,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B014L003,PPHI,SOMA2,CALAMBA,2,B,7,UNNA REGULAR,121,54,"5,246,083.78","524,612.55","4,721,471.23",Aug-2022,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B014L004,PPHI,SOMA2,CALAMBA,2,B,7,UNNA REGULAR,121,54,"5,246,083.78","524,612.55","4,721,471.23",Aug-2022,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B014L006,PPHI,SOMA2,CALAMBA,2,B,7,UNNA REGULAR,121,54,"5,246,083.78","524,612.55","4,721,471.23",Aug-2022,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B015L011,PPHI,SOMA2,CALAMBA,2,B,7,UNNA REGULAR,132,54,"5,527,565.06","552,756.97","4,974,808.09",Oct-2025,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B049L012,PPHI,SOMA2,TAYABAS,1,B,3,CALISTA MID,44,40,"1,836,857.71",0.00,"1,836,857.71",Nov-2025,100%,80%,FALLOUT,RSBS WITHIN THE MONTH,RED TAG,
B049L029,PPHI,SOMA2,TAYABAS,1,B,3,CALISTA MID,44,40,"1,836,857.71",0.00,"1,836,857.71",Jun-2025,100%,80%,FALLOUT,RSBS WITHIN THE MONTH,RED TAG,
B049L050,PPHI,SOMA2,TAYABAS,1,B,3,CALISTA MID,44,40,"1,765,837.65",0.00,"1,765,837.65",Jul-2025,100%,80%,FALLOUT,RSBS WITHIN THE MONTH,RED TAG,
B044L023,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,813,157.71",0.00,"1,813,157.71",Aug-2025,100%,80%,FALLOUT,RSBS WITHIN THE MONTH,RED TAG,
B003L002,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,115,54,"5,800,640.84","580,065.09","5,220,575.75",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B003L003,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,105,54,"5,253,611.22","525,365.49","4,728,245.73",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B003L004,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,105,54,"5,253,611.22","525,365.49","4,728,245.73",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B003L005,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,105,54,"5,494,638.33","549,464.82","4,945,173.51",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B024L002,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,132,54,"5,688,529.17","568,856.70","5,119,672.47",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B024L003,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,132,54,"5,688,529.17","568,856.70","5,119,672.47",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B025L003,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,121,54,"5,398,896.96","539,892.53","4,859,004.43",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B025L004,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,121,54,"5,398,896.96","539,892.53","4,859,004.43",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B025L005,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,121,54,"5,398,896.96","539,892.53","4,859,004.43",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B025L006,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,121,54,"5,398,896.96","539,892.53","4,859,004.43",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B026L001,PPHI,SOMA2,CALAMBA,1,C,9,UNNA CORNER,124,54,"5,915,629.39","591,571.01","5,324,058.38",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B026L002,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,116,54,"5,254,030.87","525,410.45","4,728,620.42",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B026L021,PPHI,SOMA2,CALAMBA,1,C,9,UNNA CORNER,126,54,"5,970,866.68","597,092.86","5,373,773.82",Jul-2026,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B027L003,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,108,54,"5,302,016.05","530,209","4,771,807.19",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B027L004,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,108,54,"5,302,016.05","530,208.86","4,771,807.19",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B027L005,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,108,54,"5,302,016.05","530,208.86","4,771,807.19",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B027L011,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,108,54,"5,056,613.46","505,662.16","4,550,951.30",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B027L012,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,108,54,"5,424,767.36","542,482.22","4,882,285.14",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B027L013,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,108,54,"5,056,613.46","505,662.16","4,550,951.30",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B030L002,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,114,54,"5,771,440.60","577,150.78","5,194,289.82",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B030L003,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,109,54,"5,379,043.83","537,904.70","4,841,139.13",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B030L004,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,109,54,"5,379,043.83","537,904.70","4,841,139.13",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B030L005,PPHI,SOMA2,CALAMBA,1,C,9,UNNA REGULAR,109,54,"5,625,739.41","562,579.22","5,063,160.19",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B030L007,PPHI,SOMA2,CALAMBA,1,C,9,UNNA CORNER,129,54,"6,217,065.89","621,714.20","5,595,351.69",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
