UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,,
B041L065,SOMA3,LIPA,1,A,1,CALISTA MID,44,40,"1,999,907.00",0.00,"1,999,907.00",Dec-2026,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,,,
B042L047,SOMA3,LIPA,1,A,2,CALISTA MID,44,40,"1,999,907.00",0,"1,999,907.00",Dec-2026,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,,,
B042L043,SOMA3,LIPA,1,A,2,CALISTA MID,44,40,"1,999,907.00",0,"1,999,907.00",Dec-2026,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,,,
B032L020,SOMA3,BATULAO,1,A,3,CALISTA END,147,40,"5,824,953.00","582,499","5,242,455.00",May-2025,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,,,
B004L003,SOMA3,EDITIONS BATULAO VOL. 1,2,,1,CORIN,188,120,"10,837,123.00","1,083,720","9,753,403.00",Feb-2026,60%,OPEN,MEMO TERMS,RED TAG,,,
B004L004,SOMA3,EDITIONS BATULAO VOL. 1,2,,1,CORIN,174,120,"10,467,723.00","1,046,777","9,420,945.00",Feb-2026,60%,OPEN,MEMO TERMS,RED TAG,,,
B004L007,SOMA3,EDITIONS BATULAO VOL. 1,2,,1,CORIN,175,120,"10,494,151.00","1,049,416","9,444,735.00",Mar-2026,60%,OPEN,MEMO TERMS,RED TAG,,,
B004L012,SOMA3,EDITIONS BATULAO VOL. 1,2,,1,CORIN,163,120,"10,079,629.00","1,007,971","9,071,658.00",Apr-2026,60%,OPEN,MEMO TERMS,RED TAG,,,
B010L007,SOMA3,EDITIONS BATULAO VOL. 1,2,,2,CHRISTIE,435,90,"14,728,336.00","1,472,843","13,255,493.00",Jun-2027,60%,OPEN,MEMO TERMS,RED TAG,,,
B013L002,SOMA3,EDITIONS BATULAO VOL. 1,2,,2,CORIN,150,120,"10,077,437.00","1,007,747","9,069,690.00",Aug-2026,30%,OPEN,MEMO TERMS,YELLOW TAG,,,
B013L003,SOMA3,EDITIONS BATULAO VOL. 1,2,,2,CORIN,149,120,"10,049,396.00","1,004,946","9,044,450.00",Aug-2026,20%,OPEN,MEMO TERMS,YELLOW TAG,,,
B013L004,SOMA3,EDITIONS BATULAO VOL. 1,2,,2,CORIN,149,120,"10,049,396.00","1,004,946","9,044,450.00",Aug-2026,18%,OPEN,MEMO TERMS,YELLOW TAG,,,
