UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER,HOUSE CON,INVENTORY STATUS,HOLDING STATUS,HOUSE TAGGING,,,,
B024L044,VISMIN,BACOLOD,1,A,2,AMANI END,157,36,"3,359,781.43",-,"3,359,781.43",Jan-2026,100%,REOPEN,RSBS WITHI THIS MONTH,RED TAGGING,,,,
B030L002,VISMIN,BACOLOD,1,A,5,AMANI END,161,36,"3,593,445.34",-,"3,593,445.34",Oct-2026,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B032L008,VISMIN,BACOLOD,1,A,5,AMANI END,142,36,"3,328,360.61",-,"3,328,360.61",Dec-2026,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B033L001,VISMIN,BACOLOD,1,A,5,AMANI END CORNER,210,36,"4,371,998.44",-,"4,371,998.44",Dec-2026,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B033L002,VISMIN,BACOLOD,1,A,5,AMANI END,153,36,"3,450,822.75",-,"3,450,822.75",Dec-2026,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B034L004,VISMIN,BACOLOD,1,A,5,AMANI END,127,36,"3,045,124.69",-,"3,045,124.69",Dec-2026,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B034L008,VISMIN,BACOLOD,1,A,5,AMANI END,175,36,"3,850,932.04",-,"3,850,932.04",Dec-2026,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B035L005,VISMIN,BACOLOD,1,A,5,AMANI MID,83,36,"2,287,732.36",-,"2,287,732.36",Nov-2026,5%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B036L011,VISMIN,BACOLOD,1,A,5,AMANI END,82,36,"2,389,942.14",-,"2,389,942.14",Dec-2026,0%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B036L012,VISMIN,BACOLOD,1,A,5,AMANI END,136,36,"3,249,232.19",-,"3,249,232.19",Dec-2026,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B019L061,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",Jun-2027,12%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B019L091,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",May-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B019L092,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",May-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B019L093,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",May-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B019L096,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",May-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B019L097,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",May-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B019L098,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",May-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B019L099,VISMIN,BACOLOD,1,A,7,AMANI MID,58,36,"1,974,504.89",-,"1,974,504.89",May-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B020L036,VISMIN,BACOLOD,1,A,7,AMANI END CORNER,117,36,"3,069,033.40",-,"3,069,033.40",Apr-2027,12%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B015L002,VISMIN,BACOLOD,1,A,8,AMANI MID,60,36,"2,067,494.86",-,"2,067,494.86",Aug-2027,3%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B015L006,VISMIN,BACOLOD,1,A,8,AMANI MID,61,36,"2,084,178.83",-,"2,084,178.83",Aug-2027,3%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B015L008,VISMIN,BACOLOD,1,A,8,AMANI END CORNER,113,36,"3,063,532.17",-,"3,063,532.17",Aug-2027,3%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B015L011,VISMIN,BACOLOD,1,A,8,AMANI MID,64,36,"2,134,430.76",-,"2,134,430.76",Aug-2027,3%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B015L012,VISMIN,BACOLOD,1,A,8,AMANI MID,64,36,"2,134,430.76",-,"2,134,430.76",Aug-2027,3%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B015L013,VISMIN,BACOLOD,1,A,8,AMANI MID,64,36,"2,134,430.76",-,"2,134,430.76",Aug-2027,3%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B015L014,VISMIN,BACOLOD,1,A,8,AMANI END,88,36,"2,611,728.72",-,"2,611,728.72",Aug-2027,3%,REOPEN,RSBS WITHI THIS MONTH,YELLOW TAGGING,,,,
B016L001,VISMIN,BACOLOD,1,A,8,AMANI END,185,36,"4,192,150.77",-,"4,192,150.77",Jul-2027,3%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B016L006,VISMIN,BACOLOD,1,A,8,AMANI MID,56,36,"1,980,908.14",-,"1,980,908.14",Jul-2027,12%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
