Timestamp,Date,Client ID,Age,Income of Principal Buyer,Marital Status,No. of Family Members,Preferred Location,SOURCE OF LEAD,Source of Income,Employer,Preferred Pay Term,Age of Spouse,Income of Spouse,Recommended Model
01/05/2024 19:22:08,01/05/2024,Client 1,29,"PHP 125,500",Married,7,BATULAO,Facebook Ads,Locally Employed,bdo unibank,20-80 Pagibig Financing,30,"PHP 83,000",CALISTA END
01/06/2024 11:56:09,01/06/2024,Client 2,27,"PHP 61,000",Married,2,MAGALANG EAST,Facebook Ads,Self Employed/ Business Owner,independent contractor,20-80 Pagibig Financing,25,"PHP 42,500",CALISTA END
01/11/2024 20:54:34,01/11/2024,Client 3,42,"PHP 247,000",Single,N/a,GAPAN,Broker/Agent,OFW Land base,Aramco,20-80 Pagibig Financing,N/a,N/a,CALISTA END
01/15/2024 14:35:29,01/15/2024,Client 4,47,"PHP 32,500",Single,,LIPA,Facebook Ads,OFW Land base,pricewaterhousecoopers uae,20-80 Pagibig Financing,,,CALISTA MID
01/17/2024 17:33:44,01/17/2024,Client 5,27,"PHP 243,000",Married,2,TAYABAS,Facebook Ads,OFW Land base,Hyundai engineering,20-80 Pagibig Financing,28,"PHP 224,500",CALISTA END
01/18/2024 10:28:55,01/18/2024,Client 6,42,"PHP 144,500",Widow,,LIPA,Referral,OFW Land base,Consolidated contractors,20-80 Pagibig Financing,,,CALISTA END
01/21/2024 09:51:11,01/21/2024,Client 7,53,"PHP 84,000",Single,,BATULAO,Referral,OFW Land base,Walmart us,20-80 Pagibig Financing,,,CALISTA MID
01/29/2024 16:28:18,01/29/2024,Client 8,27,"PHP 32,500",Widow,,BATULAO,Facebook Ads,OFW Land base,Emaar properties,20-80 Pagibig Financing,,,CALISTA MID
01/31/2024 09:38:03,01/31/2024,Client 9,36,"PHP 175,500",Married,7,NAIC,Facebook Ads,OFW Land base,samsung hq seoul,20-80 Pagibig Financing,37,"PHP 189,000",CALISTA END
01/31/2024 14:38:58,01/31/2024,Client 10,32,"PHP 48,500",Single,,BATULAO,Broker/Agent,OFW Land base,Emaar properties,20-80 Pagibig Financing,,,CALISTA MID
02/02/2024 14:41:50,02/02/2024,Client 11,32,"PHP 177,500",Single,,NAIC,Referral,OFW Land base,Emirates airlines,Deferred Cash,,,CALISTA END
02/13/2024 19:35:45,02/13/2024,Client 12,51,"PHP 123,500",Married,4,SIGHTS CALAUAN,Facebook Ads,Self Employed/ Business Owner,family catering services,10-90 Bank Financing,52,"PHP 147,000",CALISTA END
02/15/2024 15:33:36,02/15/2024,Client 13,31,"PHP 113,500",Widow,,GEN TRI,Facebook Ads,OFW Land base,emaar properties,20-80 Pagibig Financing,,,CALISTA MID
02/20/2024 18:31:07,02/20/2024,Client 14,33,"PHP 59,500",Single,,NAIC,Facebook Ads,Locally Employed,san miguel corporation,20-80 Pagibig Financing,,,CALISTA MID
02/22/2024 17:11:17,02/22/2024,Client 15,53,"PHP 209,000",Single,,IMPRESSIONS HERMOSA,Facebook Ads,OFW Land base,samsung c&t (saudi),20-80 Pagibig Financing,,,CALISTA END
